C,penalty,spa,bias,var,loss
2,0,0,0.33999999999999997,3.4115226337448764e-05,0.11563411522633743
2,1,1,0.3406666666666667,8.019204389574803e-06,0.11606179698216736
2,0,1,0.34177777777777785,1.1983539094650057e-05,0.11682403292181075
1,1,0,0.3426296296296296,1.6713305898491142e-05,0.11741177640603566
2,1,0,0.3441481481481482,2.243621399176978e-05,0.11846038408779153
3,1,1,0.34529629629629643,1.3341563786008138e-05,0.11924287379972574
3,1,0,0.3468148148148148,2.2543209876543378e-05,0.12030305898491082
1,0,0,0.3468888888888888,1.8345679012345768e-05,0.12035024691358019
3,0,1,0.3474814814814814,4.466392318244192e-06,0.12074784636488334
3,0,0,0.3474814814814815,1.4205761316872436e-05,0.12075758573388205
4,1,1,0.3478148148148148,5.451303155006792e-06,0.12098059670781891
5,0,0,0.34859259259259257,1.1599451303154856e-05,0.12152839506172837
6,0,0,0.3486296296296295,1.1256515775034185e-05,0.12155387517146768
4,1,0,0.3486666666666667,1.0828532235939676e-05,0.12157927297668039
6,1,0,0.34885185185185175,1.1212620027434943e-05,0.12170882716049375
5,1,0,0.348925925925926,1.1679012345678819e-05,0.12176098079561046
4,0,0,0.34892592592592586,1.5218106995884834e-05,0.12176451989026059
1,1,1,0.34903703703703715,2.4477366255143858e-05,0.12185133058984919
5,1,1,0.34970370370370374,9.541838134430744e-06,0.12230222222222224
4,0,1,0.3500740740740741,7.539094650205921e-06,0.12255939643347052
6,0,1,0.3501481481481481,1.074622770919079e-05,0.12261447187928666
5,0,1,0.3501481481481481,1.2652949245541881e-05,0.12261637860082301
6,1,1,0.3503333333333334,1.0389574759945257e-05,0.12274383401920443
3,0,3,0.35070370370370374,2.2556927297668226e-05,0.12301564471879288
3,1,3,0.3513333333333334,1.623319615912198e-05,0.12345134430727027
2,0,3,0.35137037037037033,5.262002743484248e-06,0.1234663991769547
2,1,3,0.352,7.124828532236059e-06,0.12391112482853223
4,0,3,0.3520740740740742,2.3393689986282453e-05,0.12397954732510298
5,1,3,0.3524074074074075,2.240054869684506e-05,0.12421338134430733
5,0,3,0.3525555555555556,2.586282578875155e-05,0.12432128257887523
6,1,3,0.3526296296296296,2.5588477366254988e-05,0.12437324417009601
6,0,3,0.3526296296296295,2.654869684499294e-05,0.12437420438957468
4,1,3,0.3526666666666667,1.933607681755836e-05,0.12439311385459535
2,0,2,0.35318518518518505,4.014266117969823e-05,0.12477991769547316
2,1,2,0.35377777777777786,2.8499314128943566e-05,0.1251872153635117
1,0,1,0.3538148148148148,1.3478737997256536e-05,0.12519840192043896
0,1,0,0.35477777777777786,2.045816186556909e-05,0.1258877297668039
3,1,2,0.3555925925925927,2.049931412894383e-05,0.12646659122085055
3,0,2,0.35611111111111116,3.459533607681769e-05,0.126849718792867
5,1,2,0.3566666666666667,1.9657064471879277e-05,0.12723076817558301
6,1,2,0.35677777777777764,1.998079561042522e-05,0.1273103635116597
4,1,2,0.3568888888888889,3.019753086419732e-05,0.1273998765432099
4,0,2,0.3570740740740741,2.8002743484224866e-05,0.12752989711934157
6,0,2,0.35718518518518516,2.6699588477366202e-05,0.12760795610425238
5,0,2,0.35722222222222233,2.573388203017825e-05,0.12763344993141296
1,1,3,0.3584814814814814,4.9849108367627365e-06,0.12851395747599445
1,1,2,0.3598148148148149,3.386831275720168e-05,0.12950056927297676
0,1,1,0.3615925925925926,2.269684499314115e-05,0.13077189986282578
1,0,3,0.3625925925925926,1.1371742112482982e-05,0.13148475994513031
1,0,2,0.3644814814814815,3.055418381344289e-05,0.132877304526749
2,0,4,0.36918518518518517,1.9569272976680484e-05,0.13631727023319617
3,1,4,0.3699259259259259,2.1544581618655458e-05,0.13686673525377224
4,1,4,0.370074074074074,2.310836762688618e-05,0.1369779286694101
4,0,4,0.37022222222222223,2.283127572016437e-05,0.13708732510288066
3,0,4,0.37022222222222223,2.5410150891632477e-05,0.13708990397805212
5,1,4,0.37029629629629635,2.202469135802477e-05,0.13714137174211252
6,0,4,0.3703333333333333,2.2776406035665336e-05,0.1371695541838134
5,0,4,0.37037037037037046,2.2208504801097466e-05,0.13719641975308647
6,1,4,0.37037037037037035,2.259259259259265e-05,0.1371968038408779
2,1,4,0.37103703703703705,2.992592592592624e-05,0.13769840877914954
0,1,2,0.37377777777777776,3.110562414266135e-05,0.13974093278463648
1,1,4,0.37422222222222223,3.5698216735253635e-05,0.14007796982167353
0,1,3,0.37755555555555553,2.3846364883401778e-05,0.14257204389574757
1,0,4,0.3775925925925926,5.595336076817527e-05,0.14263211934156378
0,1,4,0.38296296296296306,4.1097393689986376e-05,0.1467017283950618
0,0,0,0.3872592592592593,1.8345679012345775e-05,0.14998807956104257
0,0,4,0.39755555555555555,1.1075445816186642e-05,0.1580614951989026
0,0,2,0.4039259259259259,4.461454046639244e-05,0.163200768175583
0,0,3,0.404,5.179698216735204e-06,0.16322117969821676
0,0,1,0.41133333333333333,2.1034293552811944e-05,0.16921614540466393
