comp_n,bias,var,loss
1.0,0.5054444444444444,0.00011128395061728439,0.25558537037037027
2.0,0.5075555555555555,6.676543209876556e-05,0.2576794074074074
3.0,0.5072222222222222,2.861728395061721e-05,0.257303
4.0,0.5057777777777777,2.3802469135802468e-05,0.2558349629629628
5.0,0.5044444444444445,4.4617283950617166e-05,0.25450881481481485
6.0,0.5057777777777779,2.683950617283924e-05,0.25583800000000007
7.0,0.5113333333333334,6.6074074074074e-05,0.2615278518518519
8.0,0.5061111111111112,2.4098765432098592e-05,0.2561725555555556
9.0,0.5032222222222222,2.2691358024691545e-05,0.2532552962962963
10.0,0.5068888888888889,1.069135802469138e-05,0.2569470370370371
11.0,0.5035555555555555,1.572839506172836e-05,0.25358392592592593
12.0,0.5071111111111111,4.78024691358028e-05,0.2572094814814815
13.0,0.5031111111111111,6.01728395061726e-05,0.2531809629629629
14.0,0.5010000000000001,0.00010866666666666685,0.25110966666666673
15.0,0.49977777777777777,3.513580246913559e-05,0.24981296296296296
16.0,0.5023333333333333,6.888888888888766e-06,0.25234566666666663
17.0,0.5003333333333333,3.47407407407408e-05,0.2503681851851851
18.0,0.5011111111111111,3.039506172839489e-05,0.2511427407407407
19.0,0.5013333333333334,2.9851851851851996e-05,0.251364962962963
20.0,0.5016666666666667,4.066666666666641e-05,0.2517101111111112
21.0,0.4993333333333333,6.222222222222233e-06,0.24933999999999995
22.0,0.4986666666666667,7.185185185185219e-06,0.24867562962962966
23.0,0.4956666666666667,2.9851851851852037e-05,0.24571529629629635
24.0,0.489,2.400000000000004e-05,0.239145
25.0,0.489,1.4888888888888916e-05,0.2391358888888889
26.0,0.4906666666666667,4.688888888888898e-05,0.24080066666666672
27.0,0.49711111111111117,1.4098765432098814e-05,0.2471335555555556
28.0,0.4967777777777779,3.217283950617288e-05,0.24682033333333345
29.0,0.4983333333333334,3.288888888888895e-05,0.24836900000000006
30.0,0.4955555555555555,4.750617283950614e-05,0.24562281481481477
31.0,0.49988888888888894,4.017283950617302e-05,0.2499290740740741
32.0,0.49977777777777777,2.4913580246913486e-05,0.24980274074074074
33.0,0.5002222222222221,0.00012698765432098757,0.25034925925925916
34.0,0.5029999999999999,0.00016155555555555525,0.25317055555555545
35.0,0.5021111111111112,0.0001552839506172837,0.2522708518518519
36.0,0.5052222222222222,7.498765432098772e-05,0.2553244814814815
37.0,0.5049999999999999,0.0001291851851851851,0.25515418518518507
38.0,0.5025555555555556,0.00016002469135802423,0.2527221111111112
39.0,0.5018888888888888,6.106172839506214e-05,0.25195351851851844
40.0,0.5027777777777778,2.7876543209876778e-05,0.2528133703703704
41.0,0.5061111111111112,7.4320987654320495e-06,0.25615588888888896
42.0,0.5076666666666667,2.9629629629629518e-05,0.25775507407407416
43.0,0.5024444444444445,1.5580246913580216e-05,0.252466
44.0,0.5026666666666666,2.8888888888888945e-06,0.2526766666666666
45.0,0.5044444444444445,8.024691358024776e-06,0.25447222222222227
46.0,0.5077777777777777,1.883950617283956e-05,0.257857111111111
